datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-08 05:45:00,ILVUSDT,66b4f47b74a4db6d2d435346,1723095900000,Binance,2024-08-09 00:37:23,15m,0.6447,36961.87593,155.46643,0.0042238956,57331.9,2408790.28204408,116.9,0.0020431705,42.03,42.03,42.0,42.0,25.3,-0.0300000000000011,-0.0007137758743754
2024-08-08 06:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e8f,1723096800000,Binance,2024-08-09 00:37:23,15m,0.6468,37135.24584,173.36991,0.0046905062,57413.8,2405062.62426362,81.9,0.0014285241,41.84,41.91,41.82,41.9,131.9,0.0599999999999951,0.0014340344168258
2024-08-08 06:15:00,ILVUSDT,66b4f47c74a4db6d2d435349,1723097700000,Binance,2024-08-09 00:37:23,15m,0.6354,36496.7406,-638.50524,-0.0171940491,57439.0,2413977.12510498,25.2,0.0004389189,42.02,42.04,41.98,41.99,47.5,-0.0300000000000011,-0.0007139457401237
2024-08-08 06:30:00,ILVUSDT,66b4f47c74a4db6d2d43534b,1723098600000,Binance,2024-08-09 00:37:23,15m,0.6389,36694.90205,198.16145,0.0054295657,57434.5,2408337.28840643,-4.5,-7.8344e-05,41.94,41.95,41.92,41.94,5.3,0.0,0.0
2024-08-08 06:45:00,ILVUSDT,66b4f47c74a4db6d2d43534d,1723099500000,Binance,2024-08-09 00:37:23,15m,0.6418,37006.31636,311.41431,0.0084865824,57660.2,2416784.98693689,225.7,0.0039296938,41.92,41.92,41.84,41.84,12.1,-0.0799999999999983,-0.0019083969465648
2024-08-08 07:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e93,1723100400000,Binance,2024-08-09 00:37:23,15m,0.646,37261.28,254.96364,0.006889733,57680.0,2408687.9611536,19.8,0.0003433911,41.74,41.81,41.72,41.78,180.3,0.0399999999999991,0.0009583133684714
2024-08-08 07:15:00,ILVUSDT,66b4f47c74a4db6d2d435350,1723101300000,Binance,2024-08-09 00:37:23,15m,0.6389,36859.16324,-402.11676,-0.0107918128,57691.6,2406316.636,11.6,0.0002011096,41.73,41.78,41.73,41.78,47.9,0.0500000000000042,0.0011981787682723
2024-08-08 07:30:00,ILVUSDT,66b4f47c74a4db6d2d435352,1723102200000,Binance,2024-08-09 00:37:23,15m,0.6386,36872.4447,13.28146,0.0003603299,57739.5,2407159.755,47.9,0.0008302769,41.68,41.71,41.63,41.63,23.5,-0.0499999999999971,-0.0011996161228406
2024-08-08 07:45:00,ILVUSDT,66b4f47c74a4db6d2d435354,1723103100000,Binance,2024-08-09 00:37:23,15m,0.6377,36790.8261,-81.6186,-0.0022135392,57693.0,2404635.82720674,-46.5,-0.0008053412,41.63,41.66,41.61,41.66,29.1,0.029999999999994,0.0007206341580589
2024-08-08 08:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e97,1723104000000,Binance,2024-08-09 00:37:23,15m,0.6404,36963.18356,172.35746,0.0046847945,57718.9,2395334.35,25.9,0.0004489279,41.51,41.53,41.48,41.48,177.6,-0.0300000000000011,-0.0007227174174897
2024-08-08 08:15:00,ILVUSDT,66b4f47c74a4db6d2d435357,1723104900000,Binance,2024-08-09 00:37:23,15m,0.6436,37106.30748,143.12392,0.0038720669,57654.3,2387464.563,-64.6,-0.0011192174,41.46,41.48,41.43,41.46,37.2,0.0,0.0
2024-08-08 08:30:00,ILVUSDT,66b4f47c74a4db6d2d435359,1723105800000,Binance,2024-08-09 00:37:23,15m,0.6452,37195.52192,89.21444,0.0024042931,57649.6,2391402.65365126,-4.7,-8.15204e-05,41.44,41.47,41.41,41.47,65.3,0.0300000000000011,0.0007239382239382
2024-08-08 08:45:00,ILVUSDT,66b4f47c74a4db6d2d43535e,1723106700000,Binance,2024-08-09 00:37:23,15m,0.6452,37203.26432,7.7424,0.0002081541,57661.6,2395262.864,12.0,0.0002081541,41.54,41.54,41.51,41.52,23.4,-0.019999999999996,-0.0004814636494943
2024-08-08 09:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e99,1723107600000,Binance,2024-08-09 00:37:23,15m,0.6455,37216.49615,13.23183,0.0003556631,57655.3,2394424.609,-6.3,-0.0001092582,41.54,41.56,41.51,41.51,31.9,-0.0300000000000011,-0.0007221954742417
2024-08-08 09:15:00,ILVUSDT,66b4f47c74a4db6d2d43536a,1723108500000,Binance,2024-08-09 00:37:23,15m,0.6469,37303.29443,86.79828,0.0023322529,57664.7,2388965.39041519,9.4,0.0001630379,41.41,41.43,41.4,41.43,16.4,0.0200000000000031,0.000482975126781
2024-08-08 09:30:00,ILVUSDT,66b4f47c74a4db6d2d43536c,1723109400000,Binance,2024-08-09 00:37:23,15m,0.6477,37314.45039,11.15596,0.000299061,57610.7,2393178.13541225,-54.0,-0.0009364481,41.56,41.56,41.55,41.55,14.7,-0.0100000000000051,-0.0002406159769009
2024-08-08 09:45:00,ILVUSDT,66b4f47c74a4db6d2d43536e,1723110300000,Binance,2024-08-09 00:37:23,15m,0.6414,36868.50582,-445.94457,-0.0119509886,57481.3,2386048.763,-129.4,-0.0022461105,41.51,41.57,41.51,41.57,15.3,0.0600000000000022,0.0014454348349795
2024-08-08 10:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e9d,1723111200000,Binance,2024-08-09 00:37:23,15m,0.637,36576.7311,-291.77472,-0.0079139285,57420.3,2388345.09329743,-61.0,-0.0010612147,41.59,41.6,41.56,41.58,59.8,-0.0100000000000051,-0.0002404424140419
2024-08-08 10:15:00,ILVUSDT,66b4f47d74a4db6d2d435377,1723112100000,Binance,2024-08-09 00:37:23,15m,0.639,36711.6363,134.9052,0.0036882793,57451.7,2391360.36335735,31.4,0.0005468449,41.64,41.67,41.61,41.61,36.8,-0.0300000000000011,-0.0007204610951008
2024-08-08 10:30:00,ILVUSDT,66b4f47d74a4db6d2d43537a,1723113000000,Binance,2024-08-09 00:37:23,15m,0.6396,36739.32756,27.69126,0.0007542911,57441.1,2401100.68327917,-10.6,-0.0001845028,41.77,41.77,41.71,41.76,67.3,-0.0100000000000051,-0.0002394062724444
2024-08-08 10:45:00,ILVUSDT,66b4f47d74a4db6d2d43537d,1723113900000,Binance,2024-08-09 00:37:23,15m,0.6358,36619.91828,-119.40928,-0.003250176,57596.6,2409963.98414401,155.5,0.0027071209,41.88,41.91,41.88,41.88,26.7,0.0,0.0
2024-08-08 11:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1ea0,1723114800000,Binance,2024-08-09 00:37:23,15m,0.6435,37050.0273,430.10902,0.0117452206,57575.8,2406668.44,-20.8,-0.0003611324,41.81,41.82,41.8,41.8,18.5,-0.0100000000000051,-0.0002391772303277
2024-08-08 11:15:00,ILVUSDT,66b4f47d74a4db6d2d435380,1723115700000,Binance,2024-08-09 00:37:23,15m,0.6452,37176.87564,126.84834,0.0034237044,57620.7,2409697.674,44.9,0.0007798415,41.8,41.81,41.76,41.79,25.4,-0.009999999999998,-0.0002392344497607
2024-08-08 11:30:00,ILVUSDT,66b4f47d74a4db6d2d435382,1723116600000,Binance,2024-08-09 00:37:23,15m,0.6367,36865.37569,-311.49995,-0.0083788631,57900.7,2428402.88347357,280.0,0.0048593648,41.93,41.93,41.87,41.9,44.8,-0.0300000000000011,-0.0007154781779156
2024-08-08 11:45:00,ILVUSDT,66b4f47d74a4db6d2d435386,1723117500000,Binance,2024-08-09 00:37:23,15m,0.6354,36761.19408,-104.18161,-0.0028260016,57855.2,2421240.12,-45.5,-0.0007858282,41.85,41.85,41.83,41.83,8.2,-0.0200000000000031,-0.0004778972520908
2024-08-08 12:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1ea2,1723118400000,Binance,2024-08-09 00:37:23,15m,0.6322,36785.31564,24.12156,0.0006561691,58186.2,2440329.228,331.0,0.0057211798,41.93,41.94,41.87,41.88,98.7,-0.0499999999999971,-0.0011924636298592
2024-08-08 12:15:00,ILVUSDT,66b4f47d74a4db6d2d435389,1723119300000,Binance,2024-08-09 00:37:23,15m,0.6333,36850.08042,64.76478,0.001760615,58187.4,2438052.06,1.2,2.06234e-05,41.88,41.88,41.82,41.85,15.9,-0.0300000000000011,-0.0007163323782235
