,timestamp,sumOpenInterest,sumOpenInterestValue
18370,2024-08-20 16:00:00,4541020.00000000,645196427.89755340
18371,2024-08-20 16:05:00,4526126.00000000,644660652.30600000
18372,2024-08-20 16:10:00,4540989.00000000,644625175.47300000
18373,2024-08-20 16:15:00,4545724.00000000,647122174.12855320
18374,2024-08-20 16:20:00,4551109.00000000,645986425.82635450
18375,2024-08-20 16:25:00,4556425.00000000,647139929.90000000
18376,2024-08-20 16:30:00,4560517.00000000,648738103.76700000
18377,2024-08-20 16:35:00,4564293.00000000,649571922.58800000
18378,2024-08-20 16:40:00,4567695.00000000,650702571.83916440
18379,2024-08-20 16:45:00,4572962.00000000,652058651.58000000
18380,2024-08-20 16:50:00,4569598.00000000,650336048.16400000
18381,2024-08-20 16:55:00,4570891.00000000,650622083.69415380
18382,2024-08-20 17:00:00,4568263.00000000,651107449.97290040
18383,2024-08-20 17:05:00,4566165.00000000,651509554.53000000
18384,2024-08-20 17:10:00,4565917.00000000,652254941.20100000
18385,2024-08-20 17:15:00,4562207.00000000,651592652.56800000
18386,2024-08-20 17:20:00,4555982.00000000,650627505.62689140
18387,2024-08-20 17:25:00,4549055.00000000,649687178.45383940
18388,2024-08-20 17:30:00,4547134.00000000,650131030.78400000
18389,2024-08-20 17:35:00,4540993.00000000,648051830.42816200
18390,2024-08-20 17:40:00,4538908.00000000,648460169.23600000
18391,2024-08-20 17:45:00,4536707.00000000,647655158.67116840
18392,2024-08-20 17:50:00,4536356.00000000,648225378.25612560
18393,2024-08-20 17:55:00,4530076.00000000,649010398.29200000
18394,2024-08-20 18:00:00,4511059.00000000,646236268.10400000
18395,2024-08-20 18:05:00,4500506.00000000,644728988.04200000
18396,2024-08-20 18:10:00,4490907.00000000,644595855.05783570
18397,2024-08-20 18:15:00,4497599.00000000,645747274.02400000
18398,2024-08-20 18:20:00,4493980.00000000,646036588.88000000
18399,2024-08-20 18:25:00,4491730.00000000,646225195.10000000
18400,2024-08-20 18:30:00,4489888.00000000,643933600.45047490
18401,2024-08-20 18:35:00,4486801.00000000,642536824.00600000
18402,2024-08-20 18:40:00,4481516.00000000,641435167.16677120
18403,2024-08-20 18:45:00,4477046.00000000,643167951.31400000
18404,2024-08-20 18:50:00,4477463.00000000,642649562.59244940
18405,2024-08-20 18:55:00,4475087.00000000,641886717.47481140
18406,2024-08-20 19:00:00,4469763.00000000,641017651.35600000
18407,2024-08-20 19:05:00,4470135.00000000,641102291.56500000
18408,2024-08-20 19:10:00,4466596.00000000,641313853.68000000
18409,2024-08-20 19:15:00,4467746.00000000,641215373.66600000
18410,2024-08-20 19:20:00,4468797.00000000,640456192.57190120
18411,2024-08-20 19:25:00,4468225.00000000,641297524.90000000
18412,2024-08-20 19:30:00,4471437.00000000,641565849.54409810
18413,2024-08-20 19:35:00,4470497.00000000,642253951.50500000
18414,2024-08-20 19:40:00,4469626.00000000,642495489.93080230
18415,2024-08-20 19:45:00,4459909.00000000,642430667.85963820
18416,2024-08-20 19:50:00,4455303.00000000,642408044.19644610
18417,2024-08-20 19:55:00,4448599.00000000,640763278.95971850
18418,2024-08-20 20:00:00,4444256.00000000,639768428.22400000
18419,2024-08-20 20:05:00,4441266.00000000,639728837.17200000
18420,2024-08-20 20:10:00,4426338.00000000,638921034.10355810
18421,2024-08-20 20:15:00,4407147.00000000,635373896.02956780
18422,2024-08-20 20:20:00,4400956.00000000,634277466.60290660
18423,2024-08-20 20:25:00,4391231.00000000,632587564.16700000
18424,2024-08-20 20:30:00,4393180.00000000,632179086.47989030
18425,2024-08-20 20:35:00,4388655.00000000,631376860.70018730
18426,2024-08-20 20:40:00,4389188.00000000,631263418.86766850
18427,2024-08-20 20:45:00,4389245.00000000,631893267.18000000
18428,2024-08-20 20:50:00,4386530.00000000,630080185.60837800
18429,2024-08-20 20:55:00,4381978.00000000,629050469.81200000
18430,2024-08-20 21:00:00,4377714.00000000,628079383.00800000
18431,2024-08-20 21:05:00,4365461.00000000,625574926.76100000
18432,2024-08-20 21:10:00,4345557.00000000,621033284.48312430
18433,2024-08-20 21:15:00,4336562.00000000,618645261.79600000
18434,2024-08-20 21:20:00,4329795.00000000,618724113.32887630
18435,2024-08-20 21:25:00,4329635.00000000,618620883.81586100
18436,2024-08-20 21:30:00,4326197.00000000,618970635.77500000
18437,2024-08-20 21:35:00,4326680.00000000,619530386.03606520
18438,2024-08-20 21:40:00,4324312.00000000,619289045.83200000
18439,2024-08-20 21:45:00,4323613.00000000,619647697.21946180
18440,2024-08-20 21:50:00,4321972.00000000,618905679.39238630
18441,2024-08-20 21:55:00,4323001.00000000,618737363.11814480
18442,2024-08-20 22:00:00,4328351.00000000,619088371.88100000
18443,2024-08-20 22:05:00,4332500.00000000,619963420.00000000
18444,2024-08-20 22:10:00,4343195.00000000,622453933.02113820
18445,2024-08-20 22:15:00,4350221.00000000,623151777.50752320
18446,2024-08-20 22:20:00,4354928.00000000,624162132.02625040
18447,2024-08-20 22:25:00,4358157.00000000,624423660.48900000
18448,2024-08-20 22:30:00,4360379.00000000,624137899.40843980
18449,2024-08-20 22:35:00,4361569.00000000,624388680.38405930
18450,2024-08-20 22:40:00,4365411.00000000,624476408.96100000
18451,2024-08-20 22:45:00,4367606.00000000,625022145.75188060
18452,2024-08-20 22:50:00,4368179.00000000,625649909.99100000
18453,2024-08-20 22:55:00,4369662.00000000,625141324.36800000
18454,2024-08-20 23:00:00,4372232.00000000,625994316.60000000
18455,2024-08-20 23:05:00,4372293.00000000,625976816.51700000
18456,2024-08-20 23:10:00,4373388.00000000,626098599.46800000
18457,2024-08-20 23:15:00,4373152.00000000,626248485.85600000
18458,2024-08-20 23:20:00,4372017.00000000,625870866.45147480
18459,2024-08-20 23:25:00,4371630.00000000,624089527.17000000
18460,2024-08-20 23:30:00,4368426.00000000,622986961.88070000
18461,2024-08-20 23:35:00,4368400.00000000,622789682.80000000
18462,2024-08-20 23:40:00,4369531.00000000,623020838.57300000
18463,2024-08-20 23:45:00,4368128.00000000,622971513.38613760
