,symbol,rate,time
175,BTCUSDT,0.00010000,2020-02-28 08:00:00
176,BTCUSDT,0.00011659,2020-02-28 16:00:00
177,BTCUSDT,0.00023604,2020-02-29 00:00:00
178,BTCUSDT,0.00061536,2020-02-29 08:00:00
179,BTCUSDT,0.00060166,2020-02-29 16:00:00
180,BTCUSDT,0.00062345,2020-03-01 00:00:00
181,BTCUSDT,0.00049317,2020-03-01 08:00:00
182,BTCUSDT,0.00027933,2020-03-01 16:00:00
183,BTCUSDT,0.00031033,2020-03-02 00:00:00
184,BTCUSDT,0.00018720,2020-03-02 08:00:00
185,BTCUSDT,0.00010000,2020-03-02 16:00:00
186,BTCUSDT,0.00010000,2020-03-03 00:00:00
187,BTCUSDT,0.00010000,2020-03-03 08:00:00
188,BTCUSDT,0.00010000,2020-03-03 16:00:00
189,BTCUSDT,0.00010000,2020-03-04 00:00:00
190,BTCUSDT,0.00010000,2020-03-04 08:00:00
191,BTCUSDT,0.00010000,2020-03-04 16:00:00
192,BTCUSDT,0.00024328,2020-03-05 00:00:00
193,BTCUSDT,0.00010000,2020-03-05 08:00:00
194,BTCUSDT,0.00023481,2020-03-05 16:00:00
195,BTCUSDT,0.00019521,2020-03-06 00:00:00
196,BTCUSDT,0.00020373,2020-03-06 08:00:00
197,BTCUSDT,0.00021759,2020-03-06 16:00:00
198,BTCUSDT,0.00035706,2020-03-07 00:00:00
199,BTCUSDT,0.00039476,2020-03-07 08:00:00
200,BTCUSDT,0.00032086,2020-03-07 16:00:00
201,BTCUSDT,0.00032714,2020-03-08 00:00:00
202,BTCUSDT,0.00054685,2020-03-08 08:00:00
203,BTCUSDT,0.00049747,2020-03-08 16:00:00
204,BTCUSDT,0.00042921,2020-03-09 00:00:00
205,BTCUSDT,0.00010000,2020-03-09 08:00:00
206,BTCUSDT,0.00010000,2020-03-09 16:00:00
207,BTCUSDT,0.00010000,2020-03-10 00:00:00
208,BTCUSDT,0.00010000,2020-03-10 08:00:00
209,BTCUSDT,0.00010000,2020-03-10 16:00:00
210,BTCUSDT,0.00010000,2020-03-11 00:00:00
211,BTCUSDT,0.00010000,2020-03-11 08:00:00
212,BTCUSDT,0.00010000,2020-03-11 16:00:00
213,BTCUSDT,0.00022898,2020-03-12 00:00:00
214,BTCUSDT,0.00010572,2020-03-12 08:00:00
215,BTCUSDT,0.00010000,2020-03-12 16:00:00
