,capacity,turnover,open,high,low,close,change,transaction,trend,MA5
2023-05-22,19037508,10100912410,532.0,533.0,529.0,531.0,-1.0,18796,-1,523.4
2023-05-23,20126817,10638352410,530.0,531.0,525.0,530.0,-1.0,15826,-1,528.4
2023-05-24,22621221,11888325332,527.0,528.0,524.0,525.0,-5.0,16339,-2,529.6
2023-05-25,68360924,36976525917,542.0,545.0,537.0,543.0,18.0,80930,-1,532.2
2023-05-26,104924623,59322536825,568.0,568.0,563.0,566.0,23.0,131612,0,539.0
2023-05-29,58813792,33454887785,574.0,574.0,564.0,568.0,2.0,52250,1,546.4
2023-05-30,47490594,26861389177,566.0,568.0,563.0,566.0,-2.0,32956,1,553.6
2023-05-31,90675529,50573324515,560.0,562.0,551.0,558.0,-8.0,39679,0,560.2
2023-06-01,25257673,13920836412,550.0,554.0,550.0,551.0,-7.0,25441,-1,561.8
2023-06-02,34705102,19460144774,559.0,564.0,557.0,562.0,11.0,30644,0,561.0
2023-06-05,17483804,9730882750,560.0,560.0,555.0,555.0,-7.0,20211,-1,558.4
2023-06-06,21562088,12043550635,554.0,562.0,553.0,560.0,5.0,15551,0,557.2
2023-06-07,29091913,16449319451,561.0,568.0,560.0,568.0,8.0,29548,1,559.2
2023-06-08,25250687,14190442437,562.0,568.0,555.0,559.0,-9.0,27238,0,560.8
2023-06-09,19776199,11160654540,561.0,566.0,561.0,565.0,6.0,16713,1,561.4
2023-06-12,28656646,16431644333,574.0,574.0,571.0,574.0,9.0,38130,2,565.2
2023-06-13,62671781,37077358748,593.0,594.0,589.0,593.0,19.0,84903,3,571.8
2023-06-14,25981992,15311616372,590.0,591.0,587.0,590.0,-3.0,28171,3,576.2
2023-06-15,29868798,17618169127,590.0,593.0,587.0,591.0,0.0,28303,4,582.6
2023-06-16,41560389,24417862365,590.0,590.0,584.0,589.0,-2.0,27450,4,587.4
2023-06-19,14883308,8682282040,583.0,585.0,582.0,583.0,-6.0,18979,3,589.2
2023-06-20,17013418,9902274410,579.0,585.0,579.0,583.0,0.0,17658,3,587.2
2023-06-21,23718735,13782152333,582.0,585.0,578.0,581.0,-2.0,25132,2,585.4
2023-06-26,29870090,17192208130,576.0,578.0,574.0,574.0,-7.0,28167,1,582.0
2023-06-27,22447417,12847067878,570.0,575.0,569.0,572.0,-2.0,20736,0,578.6
2023-06-28,18684508,10734873692,579.0,579.0,571.0,574.0,2.0,15939,0,576.8
2023-06-29,18046268,10372330946,578.0,580.0,570.0,573.0,-1.0,17649,-1,574.8
2023-06-30,33830922,19401712736,570.0,576.0,568.0,576.0,3.0,20529,0,573.8
2023-07-03,15118041,8743824984,578.0,580.0,576.0,579.0,3.0,15659,1,574.8
2023-07-04,17777363,10361905547,585.0,585.0,580.0,585.0,6.0,18848,2,577.4
2023-07-05,15553503,9060750346,589.0,589.0,579.0,582.0,-3.0,16504,2,579.0
2023-07-06,32069711,18234491768,573.0,574.0,565.0,565.0,-17.0,60108,1,577.4
2023-07-07,19858943,11244712238,565.0,572.0,563.0,565.0,0.0,21855,1,575.2
2023-07-10,18996089,10794393087,567.0,573.0,565.0,565.0,0.0,17792,1,572.4
2023-07-11,18566571,10665245909,574.0,577.0,570.0,577.0,12.0,17795,2,570.8
2023-07-12,16220006,9338600582,574.0,578.0,572.0,578.0,1.0,14426,3,570.0
2023-07-13,26878397,15790086719,587.0,590.0,585.0,585.0,7.0,32540,4,574.0
2023-07-14,24381177,14372679526,589.0,591.0,587.0,591.0,6.0,26789,5,579.2
2023-07-17,14311753,8428551949,588.0,591.0,587.0,591.0,0.0,18226,6,584.4
2023-07-18,22022410,12866196578,587.0,588.0,580.0,581.0,-10.0,31079,5,585.2
2023-07-19,24909638,14517904258,584.0,587.0,579.0,581.0,0.0,20069,5,585.8
2023-07-20,15676734,9102325307,580.0,584.0,578.0,579.0,-2.0,19382,4,584.6
2023-07-21,52275128,29291080481,560.0,563.0,557.0,560.0,-19.0,86810,3,578.4
2023-07-24,27656825,15469188055,557.0,563.0,557.0,558.0,-2.0,30269,2,571.8
2023-07-25,22767807,12899067927,561.0,569.0,561.0,569.0,11.0,21119,2,569.4
2023-07-26,15147698,8586520667,569.0,571.0,563.0,566.0,-3.0,21679,1,566.4
2023-07-27,13004888,7396939592,570.0,570.0,566.0,569.0,3.0,12672,2,564.4
2023-07-28,19009675,10814265557,569.0,573.0,565.0,567.0,-2.0,19313,2,565.8
2023-07-31,28409339,16044638425,575.0,575.0,560.0,565.0,-2.0,28425,1,567.2
2023-08-01,18916866,10711815419,565.0,568.0,564.0,567.0,2.0,13827,2,566.8
2023-08-02,34495766,19394908189,567.0,569.0,558.0,561.0,-6.0,34408,1,565.8
2023-08-04,29320685,16266624892,556.0,560.0,552.0,554.0,-7.0,47739,0,562.8
2023-08-07,15607870,8719529904,558.0,561.0,556.0,558.0,4.0,13239,0,561.0
2023-08-08,21167596,11708530913,558.0,558.0,551.0,552.0,-6.0,33867,-1,558.4
2023-08-09,15088059,8355524852,550.0,557.0,550.0,554.0,2.0,14590,-1,555.8
2023-08-10,18884431,10418779108,552.0,554.0,550.0,551.0,-3.0,21572,-2,553.8
2023-08-11,24816095,13663661565,556.0,558.0,546.0,546.0,-5.0,33682,-3,552.2
2023-08-14,24728477,13344853868,540.0,543.0,537.0,541.0,-5.0,44024,-4,548.8
2023-08-15,16341396,8859336259,543.0,545.0,540.0,542.0,1.0,20787,-4,546.8
2023-08-16,29612963,15981443678,541.0,543.0,536.0,542.0,0.0,44555,-4,544.4
2023-08-17,24070209,13048399357,540.0,546.0,537.0,544.0,2.0,18167,-3,543.0
2023-08-18,19582982,10591633376,540.0,544.0,539.0,539.0,-5.0,21346,-4,541.6
2023-08-21,18313588,9840509268,544.0,544.0,534.0,537.0,-2.0,33922,-5,540.8
2023-08-22,14853796,8041168413,544.0,544.0,538.0,541.0,4.0,13606,-4,540.6
2023-08-23,21701684,11920663477,546.0,552.0,544.0,552.0,11.0,21521,-3,542.6
2023-08-24,24409517,13715472727,563.0,564.0,558.0,564.0,12.0,28550,-2,546.6
2023-08-25,25782760,14141567044,549.0,551.0,546.0,546.0,-18.0,42456,-3,548.0
2023-08-28,9384631,5166103257,547.0,553.0,547.0,549.0,3.0,11096,-3,550.4
2023-08-29,10969386,6035376093,551.0,553.0,546.0,552.0,3.0,11040,-3,552.6
2023-08-30,18674649,10396527428,558.0,560.0,554.0,555.0,3.0,14916,-2,553.2
2023-08-31,47265347,25978808976,553.0,556.0,548.0,549.0,-6.0,19831,-3,550.2
2023-09-01,15194921,8331995536,543.0,553.0,543.0,548.0,-1.0,12739,-4,550.6
2023-09-04,9772925,5412329762,549.0,557.0,549.0,557.0,9.0,12158,-3,552.2
2023-09-05,14337041,7911531475,553.0,555.0,550.0,552.0,-5.0,13714,-4,552.2
2023-09-06,14442757,7972706415,556.0,556.0,550.0,550.0,-2.0,12752,-5,551.2
2023-09-07,22610385,12305542681,546.0,548.0,542.0,542.0,-8.0,41564,-6,549.8
2023-09-08,16702110,8980038278,535.0,540.0,535.0,539.0,-3.0,36672,-7,548.0
2023-09-11,15540773,8348107210,539.0,540.0,536.0,536.0,-3.0,31155,-8,543.8
2023-09-12,17135765,9268673682,536.0,545.0,536.0,544.0,8.0,20545,-7,542.2
2023-09-13,16836487,9146776791,545.0,548.0,541.0,541.0,-3.0,18111,-7,540.4
2023-09-14,18377284,10058129685,544.0,550.0,543.0,550.0,0.0,19037,-6,542.0
2023-09-15,44681949,24818735444,549.0,558.0,547.0,558.0,8.0,18023,-5,545.8
2023-09-18,40148161,21843932948,548.0,549.0,540.0,540.0,-18.0,58958,-6,546.6
2023-09-19,21099739,11374956906,539.0,543.0,538.0,538.0,-2.0,45323,-7,545.4
2023-09-20,28098535,15065407249,536.0,538.0,535.0,535.0,-3.0,50355,-8,544.2
2023-09-21,35984810,19006048743,530.0,531.0,526.0,527.0,-8.0,96356,-9,539.6
2023-09-22,33499481,17519111007,523.0,525.0,522.0,522.0,-5.0,68488,-10,532.4
2023-09-25,20583374,10814706278,522.0,529.0,522.0,525.0,3.0,23438,-10,529.4
2023-09-26,29064997,15130935931,521.0,524.0,519.0,519.0,-6.0,66748,-11,525.6
2023-09-27,18655088,9709749290,517.0,523.0,516.0,522.0,3.0,22249,-11,523.0
2023-09-28,28350350,14826254349,523.0,525.0,520.0,523.0,1.0,20589,-10,522.2
2023-10-02,26891996,14300676237,530.0,534.0,528.0,533.0,10.0,23151,-9,524.4
2023-10-03,17601440,9335110434,528.0,533.0,528.0,529.0,-4.0,17430,-9,525.2
2023-10-04,29808729,15519741014,521.0,523.0,519.0,520.0,-9.0,49176,-10,525.4
2023-10-05,25749184,13563941939,523.0,529.0,523.0,528.0,8.0,19027,-9,526.6
2023-10-06,16160314,8587684448,530.0,533.0,529.0,532.0,4.0,14047,-8,528.4
2023-10-11,61670562,33477968593,542.0,544.0,540.0,544.0,12.0,43385,-7,530.6
2023-10-12,36350241,19916786786,545.0,550.0,544.0,550.0,6.0,35333,-6,534.8
2023-10-13,34704924,19128100250,550.0,554.0,548.0,553.0,3.0,31159,-5,541.4
2023-10-16,21867048,11909042136,546.0,547.0,542.0,545.0,-8.0,21225,-5,544.8
2023-10-17,19462529,10712565922,550.0,552.0,548.0,551.0,6.0,19538,-4,548.6
2023-10-18,28848123,15664232734,549.0,549.0,540.0,540.0,-11.0,27159,-5,547.8
2023-10-19,26999255,14717458172,540.0,548.0,540.0,546.0,6.0,18309,-5,547.0
2023-10-20,49143932,27116129760,549.0,556.0,546.0,556.0,10.0,41402,-4,547.6
2023-10-23,24172637,13193058890,552.0,553.0,543.0,544.0,-12.0,23393,-5,547.4
2023-10-24,15761516,8562488660,543.0,546.0,540.0,544.0,0.0,15637,-5,546.0
2023-10-25,17137199,9371422161,544.0,551.0,544.0,544.0,0.0,12233,-5,546.8
2023-10-26,31682955,16851704175,530.0,535.0,530.0,531.0,-13.0,45750,-6,543.8
2023-10-27,17050787,9094404470,534.0,536.0,532.0,533.0,2.0,14773,-6,539.2
2023-10-30,23299422,12374705789,531.0,534.0,528.0,532.0,-1.0,24536,-7,536.8
2023-10-31,28073280,14873552534,535.0,535.0,527.0,529.0,-3.0,32067,-8,533.8
2023-11-01,14028881,7432561094,533.0,533.0,527.0,528.0,-1.0,15452,-9,530.6
2023-11-02,31075778,16846430251,536.0,547.0,535.0,547.0,19.0,32075,-8,533.8
2023-11-03,16673456,9129495705,547.0,549.0,545.0,549.0,2.0,17911,-7,537.0
2023-11-06,31297186,17321453879,553.0,556.0,550.0,550.0,1.0,32684,-6,540.6
2023-11-07,16990175,9406486499,552.0,555.0,550.0,555.0,5.0,15356,-5,545.8
2023-11-08,16780331,9308096586,550.0,557.0,550.0,556.0,1.0,17845,-4,551.4
2023-11-09,13649525,7577883144,551.0,557.0,551.0,557.0,1.0,12731,-3,553.4
2023-11-10,14105575,7841514218,555.0,557.0,554.0,557.0,0.0,15342,-2,555.0
2023-11-13,46556047,26712320428,579.0,580.0,571.0,571.0,14.0,51281,-1,559.2
2023-11-14,25366980,14553766501,576.0,576.0,571.0,572.0,1.0,29653,0,562.6
2023-11-15,53122455,30807985243,583.0,583.0,575.0,581.0,9.0,56108,1,567.6
2023-11-16,31059487,18056972159,581.0,583.0,578.0,583.0,2.0,25771,2,572.8
2023-11-17,22878229,13295351545,579.0,583.0,579.0,580.0,-3.0,22517,2,577.4
2023-11-20,26606128,15343389700,576.0,579.0,575.0,577.0,-3.0,21159,1,578.6
2023-11-21,39880714,23286785359,582.0,585.0,581.0,585.0,8.0,35442,2,581.2
2023-11-22,23922047,13783944507,576.0,579.0,574.0,577.0,-8.0,31701,1,580.4
2023-11-23,15143501,8714906968,574.0,578.0,574.0,578.0,1.0,15621,1,579.4
2023-11-24,12503334,7192811445,577.0,578.0,574.0,575.0,-3.0,12961,0,578.4
2023-11-27,20321872,11598721713,573.0,577.0,568.0,568.0,-7.0,28620,-1,576.6
2023-11-28,26932029,15393289150,565.0,576.0,565.0,575.0,7.0,17693,0,574.6
2023-11-29,27786565,15937354487,578.0,579.0,570.0,574.0,-1.0,23135,-1,574.0
2023-11-30,54365027,31284297816,576.0,577.0,570.0,577.0,3.0,18807,0,573.8
2023-12-01,28797795,16600169332,573.0,579.0,573.0,579.0,2.0,18507,1,574.6
2023-12-04,29424299,16917950637,582.0,582.0,571.0,574.0,-5.0,23004,0,575.8
2023-12-05,27355530,15570195609,571.0,572.0,567.0,570.0,-4.0,26933,-1,574.8
2023-12-06,23116422,13197098680,568.0,575.0,568.0,570.0,0.0,15802,-1,574.0
2023-12-07,24259384,13786125780,570.0,573.0,566.0,566.0,-4.0,26821,-2,571.8
2023-12-08,39243978,22520643109,574.0,577.0,570.0,570.0,4.0,23505,-1,570.0
2023-12-11,29204446,16730528425,572.0,575.0,570.0,574.0,4.0,19353,0,570.0
2023-12-12,32856787,19003744361,580.0,581.0,575.0,578.0,4.0,22572,1,571.6
2023-12-13,24327758,14033215240,576.0,579.0,576.0,577.0,-1.0,18524,1,573.0
2023-12-14,40580966,23556973793,581.0,582.0,579.0,582.0,0.0,33409,2,576.2
2023-12-15,58693166,34304458160,585.0,586.0,580.0,585.0,3.0,35791,3,579.2
2023-12-18,26938728,15672718097,579.0,585.0,577.0,585.0,0.0,22094,4,581.4
2023-12-19,30591879,17885392353,588.0,588.0,580.0,585.0,0.0,21981,5,582.8
2023-12-20,38628249,22578626040,587.0,587.0,583.0,585.0,0.0,25685,6,584.4
2023-12-21,26007263,14995966443,577.0,579.0,575.0,577.0,-8.0,33077,5,583.4
2023-12-22,19328302,11226845287,582.0,582.0,579.0,582.0,5.0,14330,5,582.8
2023-12-25,9994163,5820235840,582.0,585.0,580.0,581.0,-1.0,12786,4,582.0
2023-12-26,17033926,9963615754,583.0,586.0,582.0,586.0,5.0,22883,5,582.2
2023-12-27,34750958,20491144772,587.0,592.0,586.0,592.0,6.0,37372,6,583.6
2023-12-28,27152352,16064106365,592.0,593.0,589.0,593.0,1.0,26497,7,586.8
2023-12-29,20155619,11931171966,589.0,593.0,589.0,593.0,0.0,20081,8,589.0
2024-01-02,27997826,16549619798,590.0,593.0,589.0,593.0,0.0,20667,9,591.4
